customer_id_original;full_name;city;state;zipcode;rfm_id;created_at;updated_at
96;Virginia Smith;Caguas;PR;725;6;23/06/2025 2:13;05/07/2025 2:13
97;Mary Rhodes;Phoenix;AZ;85008;4;05/08/2025 10:47;19/08/2025 10:47
98;William Smith;Caguas;PR;725;1;25/06/2025 13:51;09/07/2025 13:51
99;Betty Munoz;Las Vegas;NV;89123;3;09/12/2025 7:10;10/12/2025 7:10
100;George Barrett;Caguas;PR;725;1;24/12/2025 4:50;31/12/2025 4:50
101;Mary Briggs;Dorchester Center;MA;2124;3;20/02/2025 22:52;04/03/2025 22:52
102;Gregory Smith;Caguas;PR;725;3;28/05/2025 15:01;02/06/2025 15:01
103;Mary Williams;Broomfield;CO;80020;5;14/02/2026 13:18;18/02/2026 13:18
104;Debra Wood;Saint Paul;MN;55112;6;28/05/2025 22:32;10/06/2025 22:32
105;Mary Smith;Caguas;PR;725;4;09/04/2025 10:17;13/04/2025 10:17
106;Lauren Freeman;Napa;CA;94558;2;28/03/2025 18:57;07/04/2025 18:57
107;Mary Weaver;Caguas;PR;725;4;26/02/2025 9:23;08/03/2025 9:23
108;Joshua Smith;Bronx;NY;10462;4;11/01/2025 3:13;24/01/2025 3:13
109;Mary Thompson;Caguas;PR;725;5;06/07/2025 14:54;21/07/2025 14:54
110;David Miranda;Beaverton;OR;97006;1;09/07/2025 9:53;13/07/2025 9:53
111;Frank Smith;Caguas;PR;725;4;15/03/2025 1:32;17/03/2025 1:32
112;Mary Daniels;Middletown;OH;45044;2;23/03/2026 1:31;27/03/2026 1:31
113;Patricia Smith;Caguas;PR;725;3;29/06/2025 0:28;08/07/2025 0:28
114;Alice Warner;Bellflower;CA;90706;6;21/03/2026 15:11;27/03/2026 15:11
115;Mary Smith;West Covina;CA;91790;4;12/06/2025 17:32;16/06/2025 17:32
116;John Hill;Caguas;PR;725;6;04/01/2026 1:38;04/01/2026 1:38
117;Mary Smith;La Crosse;WI;54601;6;28/12/2025 6:21;30/12/2025 6:21
118;Katherine Olson;Ogden;UT;84404;2;21/10/2025 19:32;05/11/2025 19:32
119;Mary Rosario;Caguas;PR;725;4;03/06/2025 2:54;20/06/2025 2:54
120;Nancy Smith;Bronx;NY;10461;3;01/02/2025 4:49;15/02/2025 4:49
121;Mary Yoder;Caguas;PR;725;4;17/02/2026 19:25;04/03/2026 19:25
122;Karen Smith;Cincinnati;OH;45238;1;29/03/2025 12:44;11/04/2025 12:44
123;Mary Mann;Bend;OR;97701;6;08/05/2025 4:15;08/05/2025 4:15
124;Judy Smith;Caguas;PR;725;2;08/09/2025 19:15;14/09/2025 19:15
125;Mary Gallagher;Oxnard;CA;93030;1;07/03/2025 7:03;08/03/2025 7:03
126;Austin Smith;Amarillo;TX;79109;5;19/12/2025 15:00;07/01/2026 15:00
127;Mary Martin;Caguas;PR;725;3;29/09/2025 11:20;02/10/2025 11:20
128;Rose Lopez;Augusta;GA;30906;2;15/07/2025 10:58;03/08/2025 10:58
129;Crystal Smith;Caguas;PR;725;4;13/02/2025 21:26;20/02/2025 21:26
130;Mary Holland;Aurora;IL;60504;4;01/02/2025 10:40;15/02/2025 10:40
131;Brenda Cline;Methuen;MA;1844;4;28/03/2025 12:19;12/04/2025 12:19
132;Eric Smith;Caguas;PR;725;5;14/01/2026 22:43;19/01/2026 22:43
133;Mary Lopez;Brooklyn;NY;11219;2;28/03/2026 13:34;06/04/2026 13:34
134;Donna Gomez;Brooklyn;NY;11224;1;04/03/2026 4:13;18/03/2026 4:13
135;Mary Smith;Caguas;PR;725;2;06/12/2025 5:55;18/12/2025 5:55
136;Ryan Griffin;Lynn;MA;1902;3;11/01/2025 12:39;22/01/2025 12:39
137;Jonathan Perkins;Broken Arrow;OK;74012;3;16/01/2026 21:34;17/01/2026 21:34
138;Mary Dawson;Caguas;PR;725;2;13/05/2025 8:25;20/05/2025 8:25
139;Daniel Maxwell;San Diego;CA;92104;2;04/07/2025 19:01;22/07/2025 19:01
140;Amanda Smith;Caguas;PR;725;6;19/09/2025 9:41;22/09/2025 9:41
141;Mary Mcmahon;Brooklyn;NY;11203;2;05/04/2025 10:15;13/04/2025 10:15
142;Heather Smith;Opa Locka;FL;33055;1;29/07/2025 23:18;17/08/2025 23:18
143;Mary Byrd;Caguas;PR;725;6;15/01/2026 23:41;29/01/2026 23:41
144;David Smith;Bronx;NY;10462;3;08/12/2025 1:06;09/12/2025 1:06
145;Joan Walters;Dayton;OH;45424;2;01/12/2025 20:00;11/12/2025 20:00
146;Amber Mercado;Caguas;PR;725;5;20/10/2025 21:02;26/10/2025 21:02
147;Mary Smith;Hanover;PA;17331;4;11/05/2025 17:21;29/05/2025 17:21
148;Stephanie Richards;Caguas;PR;725;3;24/07/2025 15:00;03/08/2025 15:00
149;Shirley Mcclain;Colton;CA;92324;4;11/03/2025 12:10;14/03/2025 12:10
150;Mary Smith;Union;NJ;7083;6;17/10/2025 17:06;31/10/2025 17:06
151;Lisa Shaw;Richmond;TX;77469;4;06/10/2025 23:52;07/10/2025 23:52
152;Mary Smith;Caguas;PR;725;4;05/08/2025 23:56;11/08/2025 23:56
153;Andrew Marshall;Hollywood;FL;33021;5;11/04/2025 4:42;16/04/2025 4:42
154;Emily May;Brandon;FL;33511;4;15/01/2025 19:15;29/01/2025 19:15
155;Brittany Juarez;Caguas;PR;725;5;19/01/2026 18:02;28/01/2026 18:02
156;Mary Smith;Los Angeles;CA;90001;2;12/09/2025 23:36;23/09/2025 23:36
157;Catherine Chan;Citrus Heights;CA;95610;5;08/02/2025 23:42;17/02/2025 23:42
158;Mary Smith;Caguas;PR;725;5;16/09/2025 9:15;16/09/2025 9:15
159;John Love;Corona;NY;11368;5;11/11/2025 13:37;11/11/2025 13:37
160;Ashley Smith;Brooklyn;NY;11229;3;20/09/2025 0:43;28/09/2025 0:43
161;Mary Smith;Hialeah;FL;33010;5;28/06/2025 15:31;13/07/2025 15:31
162;John Garcia;Caguas;PR;725;3;17/02/2025 6:48;17/02/2025 6:48
163;Austin Diaz;Rio Rancho;NM;87124;2;04/04/2025 12:13;14/04/2025 12:13
164;Mary Carlson;Caguas;PR;725;5;12/01/2026 17:10;01/02/2026 17:10
165;Joseph Ewing;Antioch;CA;94509;2;16/10/2025 3:53;26/10/2025 3:53
166;Steven Smith;Florissant;MO;63031;2;19/02/2026 1:42;21/02/2026 1:42
167;Stephanie Rodriguez;Columbus;OH;43228;1;04/01/2025 23:47;12/01/2025 23:47
168;Eric Morris;Caguas;PR;725;2;06/08/2025 16:36;13/08/2025 16:36
169;Debra Mccarthy;Bronx;NY;10466;5;14/07/2025 11:10;18/07/2025 11:10
170;Mary Smith;Broomfield;CO;80020;2;13/08/2025 18:31;20/08/2025 18:31
171;Evelyn Potter;Caguas;PR;725;6;03/06/2025 14:40;05/06/2025 14:40
172;Lauren Rush;Chino;CA;91710;4;01/08/2025 5:17;09/08/2025 5:17
173;Jose Smith;Lombard;IL;60148;3;10/03/2026 1:53;28/03/2026 1:53
174;Mary Perez;Caguas;PR;725;2;02/03/2025 20:48;17/03/2025 20:48
175;Ronald Guzman;Los Angeles;CA;90042;2;13/12/2025 5:19;02/01/2026 5:19
176;Amy Smith;Dundalk;MD;21222;5;06/03/2025 10:57;22/03/2025 10:57
177;Mary Melendez;Caguas;PR;725;1;01/10/2025 8:22;17/10/2025 8:22
178;Keith Smith;Waukegan;IL;60085;2;27/01/2025 22:04;28/01/2025 22:04
179;Mary Rodgers;Los Angeles;CA;90033;2;25/02/2025 22:37;07/03/2025 22:37
180;Juan Smith;Caguas;PR;725;4;15/12/2025 1:41;04/01/2026 1:41
181;Mary Jones;Irwin;PA;15642;1;08/02/2025 2:59;10/02/2025 2:59
182;James Ortiz;Caguas;PR;725;5;29/09/2025 16:34;15/10/2025 16:34
183;Wayne Smith;Hayward;CA;94541;1;08/03/2025 7:44;27/03/2025 7:44
184;Mary Boyd;Lindenhurst;NY;11757;2;28/11/2025 11:22;07/12/2025 11:22
185;Deborah Smith;Louisville;KY;40214;2;27/02/2026 8:47;28/02/2026 8:47
186;Diane Jones;Caguas;PR;725;6;27/07/2025 13:11;07/08/2025 13:11
187;Mildred Herrera;Antioch;CA;94509;5;31/07/2025 0:25;11/08/2025 0:25
188;Mary Smith;Los Angeles;CA;90019;4;06/02/2026 19:57;19/02/2026 19:57
189;Angela Peterson;San Marcos;TX;78666;3;27/09/2025 14:06;13/10/2025 14:06
190;Mary Hayes;Caguas;PR;725;1;06/11/2025 3:20;12/11/2025 3:20
191;Victoria Smith;Portland;OR;97206;4;19/06/2025 6:53;09/07/2025 6:53
192;Mary Hall;Caguas;PR;725;2;17/09/2025 15:13;03/10/2025 15:13
193;Melissa Flores;Gaithersburg;MD;20878;2;01/12/2025 13:32;06/12/2025 13:32
194;Mary Bates;Caguas;PR;725;4;16/10/2025 3:37;24/10/2025 3:37
195;Richard Smith;Modesto;CA;95350;2;08/10/2025 7:04;23/10/2025 7:04
196;Thomas Watson;Dearborn;MI;48126;4;06/01/2026 13:45;07/01/2026 13:45
197;Ruth Smith;Caguas;PR;725;5;25/07/2025 11:08;06/08/2025 11:08
198;Mary Joseph;Lancaster;PA;17601;6;03/08/2025 8:03;07/08/2025 8:03
199;Cynthia Horn;Caguas;PR;725;4;15/11/2025 4:53;24/11/2025 4:53
200;Keith Smith;Lynn;MA;1902;3;09/04/2025 18:50;15/04/2025 18:50
201;Mary Grimes;Jacksonville;FL;32244;3;30/03/2026 22:24;03/04/2026 22:24
202;Sharon Smith;Caguas;PR;725;1;29/06/2025 2:32;12/07/2025 2:32
203;Madison Blankenship;Phoenix;AZ;85033;5;08/01/2025 4:36;23/01/2025 4:36
204;Mary Smith;Las Vegas;NV;89123;6;06/02/2025 12:02;07/02/2025 12:02
205;Ryan Garcia;Caguas;PR;725;6;28/02/2025 7:14;14/03/2025 7:14
206;Mary West;Pompano Beach;FL;33068;1;18/02/2026 15:54;27/02/2026 15:54
207;Jose Powers;Caguas;PR;725;6;30/11/2025 15:44;15/12/2025 15:44
208;Mary Smith;Bayamon;PR;957;5;05/11/2025 22:19;06/11/2025 22:19
209;Thomas Moore;Fort Worth;TX;76133;6;22/05/2025 23:16;30/05/2025 23:16
210;Jonathan Burns;Caguas;PR;725;3;03/03/2026 11:21;06/03/2026 11:21
211;Mary Smith;Lawrenceville;GA;30043;5;21/02/2026 20:37;04/03/2026 20:37
212;Roger Johnson;South Ozone Park;NY;11420;3;20/01/2026 7:23;21/01/2026 7:23
213;Mary Mclaughlin;Enfield;CT;6082;5;21/09/2025 11:48;11/10/2025 11:48
214;Lauren Booth;Caguas;PR;725;2;17/01/2025 2:00;31/01/2025 2:00
215;Mary Smith;Flushing;NY;11354;4;16/12/2025 10:45;22/12/2025 10:45
216;Martha Davis;Visalia;CA;93277;4;02/09/2025 6:27;09/09/2025 6:27
217;Mary Hughes;Caguas;PR;725;6;25/02/2025 9:59;17/03/2025 9:59
218;Charles Tyler;La Puente;CA;91744;6;04/11/2025 20:57;05/11/2025 20:57
219;Mary Harrell;Denver;CO;80219;6;12/02/2025 0:27;20/02/2025 0:27
220;Janet Smith;Salinas;CA;93906;4;03/08/2025 7:14;04/08/2025 7:14
221;Mary Cox;Columbus;OH;43230;2;10/08/2025 1:00;20/08/2025 1:00
222;Frank Ruiz;Carol Stream;IL;60188;1;07/03/2025 11:35;21/03/2025 11:35
223;Ralph Smith;Caguas;PR;725;6;29/01/2026 8:44;07/02/2026 8:44
224;Mary Hernandez;Wheeling;WV;26003;3;30/05/2025 12:13;13/06/2025 12:13
225;Megan Watson;Caguas;PR;725;6;10/03/2026 6:49;26/03/2026 6:49
226;Rose Sanders;Oxnard;CA;93030;3;16/01/2026 15:02;05/02/2026 15:02
227;Mary Smith;Tempe;AZ;85283;2;24/11/2025 22:23;28/11/2025 22:23
228;Jessica Clark;Caguas;PR;725;2;01/02/2025 6:10;14/02/2025 6:10
229;Mary Garrett;Jacksonville;FL;32225;4;08/09/2025 4:00;18/09/2025 4:00
230;Kimberly Smith;Caguas;PR;725;6;13/03/2026 14:23;13/03/2026 14:23
231;Mary Conner;Wyoming;MI;49509;3;20/11/2025 10:29;09/12/2025 10:29
232;Gloria Bean;Caguas;PR;725;2;30/03/2026 10:35;10/04/2026 10:35
233;Hannah Smith;Glendale;AZ;85301;1;21/04/2025 21:27;29/04/2025 21:27
234;Mary Giles;Miami;FL;33157;6;24/10/2025 22:57;10/11/2025 22:57
235;David Smith;Piscataway;NJ;8854;5;25/02/2026 23:38;17/03/2026 23:38
236;Ashley Clark;Caguas;PR;725;5;08/12/2025 20:52;14/12/2025 20:52
237;Mary Smith;San Jose;CA;95148;3;04/03/2026 13:12;20/03/2026 13:12
238;Charles Turner;Caguas;PR;725;2;02/02/2025 11:10;14/02/2025 11:10
239;Mary Simpson;Mcallen;TX;78501;4;12/04/2025 6:12;15/04/2025 6:12
240;David Smith;Caguas;PR;725;2;09/05/2025 6:42;13/05/2025 6:42
241;Janet Carter;Hamilton;OH;45013;1;06/04/2025 3:32;18/04/2025 3:32
242;Mary Stein;Mililani;HI;96789;6;21/11/2025 15:43;11/12/2025 15:43
243;Deborah Smith;Caguas;PR;725;2;22/10/2025 1:31;05/11/2025 1:31
244;Mary Hutchinson;Long Beach;CA;90805;2;09/11/2025 1:59;23/11/2025 1:59
245;Deborah Smith;Yonkers;NY;10701;6;21/02/2025 19:31;28/02/2025 19:31
246;Mary Wood;Oak Lawn;IL;60453;2;27/08/2025 16:39;08/09/2025 16:39
247;Angela Smith;Caguas;PR;725;1;22/11/2025 4:30;12/12/2025 4:30
248;Christina Walsh;Houston;TX;77083;5;24/02/2025 2:41;10/03/2025 2:41
249;Mary Randolph;Portland;OR;97206;2;20/07/2025 18:51;01/08/2025 18:51
250;Julie Smith;Caguas;PR;725;2;04/12/2025 3:06;22/12/2025 3:06
251;Kelly Adams;Saint Paul;MN;55112;3;16/02/2026 17:07;20/02/2026 17:07
252;Mary Frazier;Richardson;TX;75080;3;09/06/2025 14:09;26/06/2025 14:09
253;Nancy Smith;Caguas;PR;725;3;05/06/2025 20:32;11/06/2025 20:32
254;Diana Hale;San Antonio;TX;78223;1;13/02/2025 11:53;27/02/2025 11:53
255;Mary Smith;Caguas;PR;725;3;14/01/2025 6:48;29/01/2025 6:48
256;David Rodriguez;Chicago;IL;60625;1;01/08/2025 1:42;10/08/2025 1:42
257;Mary Harrison;Humacao;PR;791;3;22/12/2025 7:20;08/01/2026 7:20
258;Aaron Kennedy;Philadelphia;PA;19131;6;18/03/2025 5:59;04/04/2025 5:59
259;Mary Bates;Caguas;PR;725;4;31/01/2025 21:06;16/02/2025 21:06
260;Kenneth Smith;North Hollywood;CA;91605;4;10/02/2025 20:51;12/02/2025 20:51
261;Mary Parker;Cerritos;CA;90703;5;13/01/2026 6:49;20/01/2026 6:49
262;Mary Morgan;Chicago;IL;60621;4;01/02/2025 7:49;07/02/2025 7:49
263;Margaret Bradley;Caguas;PR;725;4;19/02/2026 23:57;25/02/2026 23:57
264;Mary Smith;Goleta;CA;93117;3;14/01/2025 18:36;21/01/2025 18:36
265;Michelle Solis;Dubuque;IA;52001;6;21/02/2026 11:12;13/03/2026 11:12
266;Mary Knapp;Caguas;PR;725;4;09/07/2025 18:34;29/07/2025 18:34
267;Richard Smith;Columbus;OH;43229;2;11/10/2025 23:09;11/10/2025 23:09
268;Mary Miller;Caguas;PR;725;3;04/02/2026 1:26;10/02/2026 1:26
269;Jeffrey Simon;Chicago;IL;60609;2;18/07/2025 22:17;04/08/2025 22:17
270;Janet Smith;Caguas;PR;725;5;27/11/2025 13:59;01/12/2025 13:59
271;Justin White;Fremont;CA;94538;3;24/07/2025 11:49;03/08/2025 11:49
272;Mary Long;Caguas;PR;725;1;17/01/2026 18:14;28/01/2026 18:14
273;Benjamin Smith;Jamaica;NY;11435;5;27/04/2025 16:35;12/05/2025 16:35
274;Mary Moyer;San Antonio;TX;78240;2;07/06/2025 12:16;12/06/2025 12:16
275;Robert Smith;Caguas;PR;725;3;06/01/2026 5:43;12/01/2026 5:43
276;Christina Wright;West Covina;CA;91790;2;28/11/2025 3:23;15/12/2025 3:23
277;Roger Hunt;Caguas;PR;725;4;25/06/2025 3:32;11/07/2025 3:32
278;Mary Graves;Brooklyn;NY;11214;4;19/03/2025 8:20;04/04/2025 8:20
279;Anna Smith;Bayamon;PR;959;4;05/08/2025 17:31;17/08/2025 17:31
280;Mary Ortiz;Caguas;PR;725;3;29/07/2025 15:15;03/08/2025 15:15
281;Stephanie Smith;Juana Diaz;PR;795;2;20/06/2025 4:49;07/07/2025 4:49
282;Zachary Pugh;Caguas;PR;725;5;07/11/2025 13:06;23/11/2025 13:06
283;Mary Smith;Wilmington;CA;90744;1;19/08/2025 13:59;01/09/2025 13:59
284;John Harrington;Caguas;PR;725;4;11/02/2026 17:16;26/02/2026 17:16
285;Shirley Smith;Lancaster;CA;93535;1;04/02/2026 14:28;20/02/2026 14:28
286;Mary Baker;Santa Cruz;CA;95060;5;10/01/2025 21:10;24/01/2025 21:10
287;Andrew Salazar;Caguas;PR;725;3;18/07/2025 20:38;29/07/2025 20:38
288;Judith Smith;San Juan;PR;926;5;14/02/2025 21:27;20/02/2025 21:27
289;Diana Richards;Morristown;NJ;7960;5;17/08/2025 7:28;29/08/2025 7:28
290;Mary Garza;Caguas;PR;725;2;08/03/2025 11:21;23/03/2025 11:21
291;John Smith;Bristol;CT;6010;3;23/02/2026 2:52;04/03/2026 2:52
292;Mary Estrada;Columbus;OH;43207;1;03/08/2025 3:09;04/08/2025 3:09
293;Christopher Prince;Caguas;PR;725;4;09/02/2026 10:06;25/02/2026 10:06
294;Mary Smith;Newark;DE;19711;1;06/02/2025 14:18;11/02/2025 14:18
295;Julie Tanner;Caguas;PR;725;4;26/10/2025 9:08;13/11/2025 9:08
296;Mary Mullen;Detroit;MI;48213;6;28/02/2026 23:26;28/02/2026 23:26
297;Catherine Smith;Caguas;PR;725;1;16/02/2026 8:21;08/03/2026 8:21
298;Mary Logan;Chicago;IL;60623;2;13/12/2025 9:12;22/12/2025 9:12
299;Katherine Smith;Troy;MI;48098;6;18/09/2025 0:52;18/09/2025 0:52
300;Mary Key;Plano;TX;75093;4;23/03/2025 23:08;29/03/2025 23:08
301;Arthur Smith;Caguas;PR;725;4;27/01/2026 10:08;14/02/2026 10:08
302;Mary Nguyen;Fullerton;CA;92833;6;25/12/2025 20:26;29/12/2025 20:26
303;Thomas Rowe;Caguas;PR;725;1;16/03/2026 9:56;27/03/2026 9:56
304;Christopher Smith;New Haven;CT;6511;2;25/08/2025 1:17;27/08/2025 1:17
305;Mary Lawrence;Caguas;PR;725;6;31/10/2025 8:05;09/11/2025 8:05
306;Alan Boyle;Phoenix;AZ;85032;4;25/06/2025 5:49;30/06/2025 5:49
307;Mary Smith;Baltimore;MD;21206;6;03/10/2025 9:11;09/10/2025 9:11
308;Alan Berger;South Ozone Park;NY;11420;6;13/08/2025 20:44;22/08/2025 20:44
309;Phillip Smith;Caguas;PR;725;1;23/03/2026 14:27;07/04/2026 14:27
310;Mary Fox;York;PA;17404;3;08/05/2025 13:12;13/05/2025 13:12
